nationality,position,overall,age,hits,potential,team,class
118,19,71,29,0,71,212,0
41,39,71,35,0,71,365,0
17,48,71,28,0,71,450,0
4,22,71,30,0,71,296,0
77,7,71,27,0,71,470,0
132,22,71,31,0,71,332,0
117,136,71,31,1,71,167,0
148,50,71,28,1,71,389,0
153,189,71,29,1,71,352,0
17,188,71,24,0,71,130,0
17,0,71,28,0,71,195,0
17,39,71,24,0,71,367,0
17,115,71,24,0,71,91,0
17,149,71,29,0,71,41,0
112,188,71,28,1,71,660,0
17,22,71,28,0,71,33,0
4,151,71,30,0,71,184,0
74,50,71,28,0,71,142,0
129,221,71,28,0,71,230,0
121,137,71,28,1,71,264,0
33,62,71,27,1,71,314,0
118,48,71,28,2,71,240,0
17,48,71,20,5,71,91,0
17,48,71,24,0,71,195,0
77,7,71,29,1,71,390,0
77,113,71,32,1,71,388,0
77,151,71,30,1,71,239,0
4,7,71,31,0,71,53,0
4,143,71,31,0,71,67,0
17,19,71,30,0,71,250,0
17,19,71,20,0,71,147,0
17,1,71,20,1,71,126,0
17,0,71,28,0,71,147,0
17,140,71,24,0,71,292,0
17,0,71,20,2,71,65,0
17,7,71,20,0,71,130,0
17,52,71,24,0,71,72,0
17,7,71,24,0,71,147,0
17,7,71,24,0,71,322,0
17,0,71,32,0,71,484,0
17,179,71,24,0,71,292,0
17,50,71,20,2,71,65,0
17,50,71,20,0,71,289,0
17,48,71,24,0,71,289,0
17,48,71,20,0,71,579,0
17,188,71,24,1,71,579,0
17,198,71,24,2,71,292,0
17,137,71,28,2,71,133,0
17,102,71,24,0,71,147,0
17,0,71,28,0,71,72,0
17,50,71,28,0,71,287,0
17,22,71,20,0,71,130,0
17,62,71,28,0,71,326,0
17,50,71,24,0,71,195,0
82,210,71,28,4,71,577,0
121,7,71,29,0,71,701,0
125,7,71,29,0,71,566,0
4,4,71,28,0,71,113,0
136,206,71,28,1,71,515,0
51,76,71,27,1,71,443,0
4,206,71,28,1,71,215,0
4,22,71,31,0,71,490,0
77,22,71,33,1,71,239,0
17,39,71,28,0,71,684,0
140,7,71,29,1,71,257,0
154,7,71,31,0,71,184,0
136,231,71,28,1,71,515,0
59,173,71,29,2,71,10,0
117,48,71,32,0,71,152,0
117,188,71,36,0,71,168,0
17,48,71,36,1,71,305,0
4,19,71,30,0,71,150,0
74,231,71,28,3,71,229,0
120,19,71,28,0,71,369,0
154,153,71,28,0,71,665,0
4,22,71,32,0,71,113,0
121,7,71,30,0,71,578,0
117,7,71,30,0,71,330,0
4,7,71,31,1,71,146,0
148,225,71,29,0,71,36,0
41,148,71,29,0,71,456,0
130,32,71,28,0,71,701,0
17,5,71,34,0,71,301,0
29,39,71,29,0,71,46,0
44,188,71,28,1,71,508,0
74,188,71,33,0,71,492,0
101,149,71,31,2,71,209,0
136,144,71,29,1,71,657,0
26,84,71,29,0,71,661,0
82,63,71,30,0,71,632,0
77,48,71,34,1,71,666,0
71,22,71,32,0,71,378,0
32,7,71,32,2,71,249,0
97,50,71,30,0,71,483,0
17,7,71,28,1,71,681,0
129,19,71,35,1,71,84,0
4,19,71,31,0,71,53,0
117,137,71,31,2,71,307,0
121,50,71,29,0,71,115,0
6,184,71,28,1,71,398,0
4,188,71,29,0,71,461,0
4,188,71,32,0,71,507,0
4,188,71,28,1,71,53,0
4,70,71,30,0,71,461,0
4,22,71,30,1,71,131,0
4,7,71,34,0,71,365,0
4,103,71,30,0,71,61,0
4,48,71,33,0,71,490,0
4,188,71,31,0,71,540,0
4,188,71,28,0,71,67,0
4,156,71,32,1,71,107,0
26,212,71,31,1,71,107,0
29,101,71,35,0,71,374,0
29,136,71,27,1,71,148,0
29,50,71,29,3,71,213,0
117,48,71,36,2,71,153,0
29,79,71,31,0,71,66,0
26,22,71,31,1,71,210,0
29,101,71,31,0,71,439,0
32,8,71,33,0,71,556,0
53,38,71,28,0,71,338,0
22,28,71,28,0,71,646,0
4,7,71,30,0,71,215,0
52,52,71,29,0,71,616,0
124,188,71,29,1,71,118,0
77,188,71,31,4,71,453,0
56,206,71,30,1,71,548,0
82,189,71,29,0,71,312,0
52,88,71,32,0,71,466,0
117,188,71,30,0,71,173,0
56,22,71,32,0,71,387,0
136,148,71,28,0,71,320,0
29,66,71,28,0,71,46,0
154,48,71,32,1,71,648,0
4,28,71,34,0,71,67,0
69,136,71,27,2,71,428,0
118,77,71,30,0,71,393,0
121,127,71,29,0,71,10,0
82,7,71,28,1,71,35,0
154,69,71,30,0,71,490,0
97,38,71,29,0,71,654,0
66,210,71,28,0,71,360,0
121,148,71,28,1,71,452,0
68,101,71,31,4,71,302,0
136,115,71,30,0,71,323,0
74,188,71,28,0,71,492,0
142,0,71,37,1,71,38,0
117,103,71,31,0,71,167,0
127,149,71,30,1,71,35,0
30,39,71,29,1,71,230,0
56,101,71,27,1,71,614,0
82,155,71,30,4,71,660,0
148,7,71,31,2,71,209,0
140,22,71,29,0,71,303,0
41,180,71,33,0,71,163,0
5,188,71,30,0,71,302,0
73,8,71,28,2,71,127,0
73,148,71,30,1,71,610,0
160,9,71,34,1,71,385,0
74,190,71,29,0,71,493,0
26,22,71,30,0,71,662,0
136,148,71,32,0,71,552,0
75,212,71,28,1,71,515,0
38,155,71,29,0,71,389,0
6,22,71,29,0,71,557,0
104,188,71,28,0,71,315,0
111,104,71,31,0,71,341,0
4,207,71,32,0,71,151,0
130,188,71,28,0,71,331,0
118,48,71,34,1,71,212,0
153,188,71,29,0,71,338,0
44,101,71,28,1,71,629,0
134,23,71,31,0,71,385,0
56,69,71,31,1,71,554,0
44,152,71,28,2,71,465,0
82,22,71,31,0,71,660,0
74,23,71,28,0,71,623,0
149,50,71,32,0,71,602,0
17,197,71,30,4,71,666,0
82,144,71,32,2,71,372,0
153,206,71,31,0,71,139,0
5,50,71,29,0,71,434,0
56,8,71,29,0,71,272,0
104,187,71,28,0,71,683,0
77,137,71,34,1,71,390,0
112,88,71,27,0,71,32,0
112,188,71,32,1,71,70,0
74,7,71,28,0,71,501,0
17,151,71,28,0,71,331,0
68,137,71,28,0,71,302,0
68,22,71,32,1,71,302,0
21,88,71,28,1,71,302,0
136,69,71,30,1,71,452,0
6,201,71,28,0,71,675,0
39,155,71,28,0,71,21,0
52,188,71,30,0,71,16,0
56,103,71,30,0,71,4,0
52,7,71,31,1,71,143,0
136,148,71,29,4,71,672,0
149,23,71,29,1,71,333,0
82,83,71,30,0,71,660,0
11,62,71,30,0,71,382,0
128,50,71,30,2,71,410,0
160,101,71,28,1,71,465,0
4,52,71,32,3,71,664,0
101,76,71,28,0,71,183,0
39,50,71,28,0,71,257,0
11,22,71,29,0,71,383,0
29,188,71,29,3,71,38,0
120,101,71,28,1,71,573,0
4,7,71,32,0,71,164,0
121,7,71,33,0,71,601,0
124,42,71,34,0,71,118,0
97,101,71,30,4,71,327,0
161,188,71,29,0,71,559,0
56,39,71,31,0,71,563,0
154,115,71,31,0,71,32,0
56,48,71,31,1,71,675,0
82,187,71,32,0,71,331,0
52,9,71,34,0,71,675,0
161,62,71,30,0,71,269,0
161,22,71,30,0,71,614,0
82,7,71,31,0,71,660,0
140,180,71,29,2,71,457,0
1,48,71,34,2,71,235,0
128,7,71,28,0,71,464,0
136,7,71,32,1,71,43,0
97,221,71,30,0,71,446,0
123,65,71,31,1,71,629,0
37,188,71,29,0,71,558,0
4,23,71,32,0,71,664,0
153,7,71,32,1,71,304,0
101,23,71,28,0,71,582,0
77,48,71,33,2,71,239,0
74,127,71,28,1,71,561,0
52,48,71,31,0,71,60,0
56,48,71,30,0,71,227,0
29,23,71,36,0,71,403,0
13,48,71,35,0,71,705,0
44,155,71,28,0,71,123,0
68,148,71,30,2,71,302,0
26,7,71,34,0,71,446,0
74,8,71,30,2,71,193,0
130,103,71,32,1,71,561,0
129,8,71,30,2,71,393,0
112,22,71,28,2,71,221,0
56,22,71,30,1,71,336,0
121,221,71,35,2,71,409,0
132,22,71,29,0,71,443,0
149,8,71,29,3,71,80,0
44,22,71,28,1,71,410,0
74,50,71,31,3,71,407,0
121,7,71,31,0,71,562,0
73,22,71,32,0,71,95,0
2,77,71,30,0,71,48,0
